number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,456.6247365838698,2024-04-04 17:09:44.847019,2024-04-04 17:11:34.222374,0 days 00:01:49.375355,False,35,3,10,198,COMPLETE
1,465.1059629067355,2024-04-04 17:09:44.849020,2024-04-04 17:11:52.350696,0 days 00:02:07.501676,False,43,4,4,220,COMPLETE
2,342.6332575503024,2024-04-04 17:09:44.851533,2024-04-04 17:10:41.822530,0 days 00:00:56.970997,True,15,3,7,167,COMPLETE
3,466.18491795104455,2024-04-04 17:09:44.854604,2024-04-04 17:11:08.064829,0 days 00:01:23.210225,False,23,1,9,136,COMPLETE
4,465.10684637072063,2024-04-04 17:09:44.854604,2024-04-04 17:11:34.114249,0 days 00:01:49.259645,False,34,4,3,205,COMPLETE
5,341.09075733207084,2024-04-04 17:09:44.856111,2024-04-04 17:11:10.080907,0 days 00:01:25.224796,True,24,4,7,248,COMPLETE
6,341.05212194130047,2024-04-04 17:09:44.861119,2024-04-04 17:10:50.427142,0 days 00:01:05.566023,True,24,1,3,150,COMPLETE
7,341.47322603020626,2024-04-04 17:09:44.861119,2024-04-04 17:10:57.153062,0 days 00:01:12.291943,True,45,2,5,194,COMPLETE
8,341.50595176064434,2024-04-04 17:09:44.898934,2024-04-04 17:10:31.678764,0 days 00:00:46.779830,True,36,1,9,122,COMPLETE
9,465.0625746447314,2024-04-04 17:09:44.930059,2024-04-04 17:11:30.977761,0 days 00:01:46.047702,False,50,4,5,199,COMPLETE
10,460.083191575064,2024-04-04 17:09:45.039316,2024-04-04 17:10:59.900923,0 days 00:01:14.861607,False,15,3,8,152,COMPLETE
11,469.8304034198439,2024-04-04 17:09:45.105204,2024-04-04 17:11:01.709115,0 days 00:01:16.603911,False,41,3,5,123,COMPLETE
12,471.5388113101256,2024-04-04 17:10:31.680765,2024-04-04 17:11:41.518781,0 days 00:01:09.838016,False,50,1,6,116,COMPLETE
13,341.2740578310942,2024-04-04 17:10:41.836059,2024-04-04 17:11:54.484702,0 days 00:01:12.648643,True,28,1,5,179,COMPLETE
14,342.136998949183,2024-04-04 17:10:50.430656,2024-04-04 17:12:10.298651,0 days 00:01:19.867995,True,32,2,10,228,COMPLETE
15,342.4508644139238,2024-04-04 17:10:57.157069,2024-04-04 17:11:16.118985,0 days 00:00:18.961916,True,14,3,5,59,COMPLETE
16,343.58751765808904,2024-04-04 17:10:59.904496,2024-04-04 17:11:22.599150,0 days 00:00:22.694654,True,43,3,3,64,COMPLETE
17,465.13895116335897,2024-04-04 17:11:01.712113,2024-04-04 17:12:25.803039,0 days 00:01:24.090926,False,45,4,2,165,COMPLETE
18,465.2130416763345,2024-04-04 17:11:08.067841,2024-04-04 17:12:32.952488,0 days 00:01:24.884647,False,32,4,3,151,COMPLETE
19,447.6159228146727,2024-04-04 17:11:10.084414,2024-04-04 17:12:24.443628,0 days 00:01:14.359214,False,12,4,8,180,COMPLETE
20,342.7062759361058,2024-04-04 17:11:16.121497,2024-04-04 17:11:35.673612,0 days 00:00:19.552115,True,10,2,5,70,COMPLETE
21,479.3195289019697,2024-04-04 17:11:22.602149,2024-04-04 17:13:54.141863,0 days 00:02:31.539714,False,30,1,2,221,COMPLETE
22,341.92102303991095,2024-04-04 17:11:30.981273,2024-04-04 17:12:58.603376,0 days 00:01:27.622103,True,27,4,2,250,COMPLETE
23,341.36563836151345,2024-04-04 17:11:34.117258,2024-04-04 17:13:14.155020,0 days 00:01:40.037762,True,25,2,2,249,COMPLETE
24,340.8058745646703,2024-04-04 17:11:34.225372,2024-04-04 17:13:17.101960,0 days 00:01:42.876588,True,26,2,2,245,COMPLETE
25,339.6528376538681,2024-04-04 17:11:35.677623,2024-04-04 17:13:25.296476,0 days 00:01:49.618853,True,25,1,2,239,COMPLETE
26,340.9006482689625,2024-04-04 17:11:41.521788,2024-04-04 17:13:23.447429,0 days 00:01:41.925641,True,27,2,2,243,COMPLETE
27,341.0658994831162,2024-04-04 17:11:52.353696,2024-04-04 17:12:29.489971,0 days 00:00:37.136275,True,23,2,7,93,COMPLETE
28,341.5368071218118,2024-04-04 17:11:54.487710,2024-04-04 17:13:32.445244,0 days 00:01:37.957534,True,22,2,2,250,COMPLETE
29,340.8762626247079,2024-04-04 17:12:10.302660,2024-04-04 17:13:49.631915,0 days 00:01:39.329255,True,23,2,2,241,COMPLETE
30,341.0188532809554,2024-04-04 17:12:24.446635,2024-04-04 17:14:02.864851,0 days 00:01:38.418216,True,24,2,2,244,COMPLETE
31,341.1780380235134,2024-04-04 17:12:25.806045,2024-04-04 17:14:01.829365,0 days 00:01:36.023320,True,21,2,7,250,COMPLETE
32,343.6701533091382,2024-04-04 17:12:29.492979,2024-04-04 17:13:01.621911,0 days 00:00:32.128932,True,21,2,7,89,COMPLETE
33,342.63428298293724,2024-04-04 17:12:33.001603,2024-04-04 17:13:08.879710,0 days 00:00:35.878107,True,23,2,7,93,COMPLETE
34,341.26175909498056,2024-04-04 17:12:58.606883,2024-04-04 17:13:33.640648,0 days 00:00:35.033765,True,23,2,7,89,COMPLETE
35,342.16381911140326,2024-04-04 17:13:01.625911,2024-04-04 17:13:40.236785,0 days 00:00:38.610874,True,20,2,7,97,COMPLETE
36,343.31179104905374,2024-04-04 17:13:08.881712,2024-04-04 17:13:49.068416,0 days 00:00:40.186704,True,22,1,6,97,COMPLETE
37,342.0974848477739,2024-04-04 17:13:14.158060,2024-04-04 17:13:52.868622,0 days 00:00:38.710562,True,20,1,6,98,COMPLETE
38,343.39241702941274,2024-04-04 17:13:17.105472,2024-04-04 17:13:53.790250,0 days 00:00:36.684778,True,19,1,4,93,COMPLETE
39,341.15912632986334,2024-04-04 17:13:23.452429,2024-04-04 17:15:00.459744,0 days 00:01:37.007315,True,19,1,3,227,COMPLETE
40,341.1722141220356,2024-04-04 17:13:25.299477,2024-04-04 17:15:01.171596,0 days 00:01:35.872119,True,20,1,4,230,COMPLETE
41,340.96261638430894,2024-04-04 17:13:32.448245,2024-04-04 17:15:05.119024,0 days 00:01:32.670779,True,19,1,4,229,COMPLETE
42,340.84339838905896,2024-04-04 17:13:33.645646,2024-04-04 17:15:08.795178,0 days 00:01:35.149532,True,19,1,3,230,COMPLETE
43,341.1720913639863,2024-04-04 17:13:40.240788,2024-04-04 17:15:15.466602,0 days 00:01:35.225814,True,19,1,3,224,COMPLETE
44,341.2783152806978,2024-04-04 17:13:49.072931,2024-04-04 17:15:34.353247,0 days 00:01:45.280316,True,19,1,3,230,COMPLETE
45,341.0082063286171,2024-04-04 17:13:49.633915,2024-04-04 17:15:24.465057,0 days 00:01:34.831142,True,19,1,4,226,COMPLETE
46,341.1597813188938,2024-04-04 17:13:52.871625,2024-04-04 17:15:26.837209,0 days 00:01:33.965584,True,18,1,4,230,COMPLETE
47,341.8373126253806,2024-04-04 17:13:53.793253,2024-04-04 17:15:24.187631,0 days 00:01:30.394378,True,28,3,4,222,COMPLETE
48,341.4746838804185,2024-04-04 17:13:54.148380,2024-04-04 17:15:22.935622,0 days 00:01:28.787242,True,28,3,4,231,COMPLETE
49,341.4642627120084,2024-04-04 17:14:01.831374,2024-04-04 17:15:23.064526,0 days 00:01:21.233152,True,17,3,4,233,COMPLETE
50,341.58321580331767,2024-04-04 17:14:02.868288,2024-04-04 17:15:27.089251,0 days 00:01:24.220963,True,17,3,3,233,COMPLETE
51,340.79255699788223,2024-04-04 17:15:00.464251,2024-04-04 17:16:21.422686,0 days 00:01:20.958435,True,37,3,4,211,COMPLETE
52,340.8129771822197,2024-04-04 17:15:01.177112,2024-04-04 17:16:37.904962,0 days 00:01:36.727850,True,27,2,2,236,COMPLETE
